text,label
go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,spam
ok lar joking wif u oni,spam
free entry in a wkly comp to win fa cup final tkts st may text fa to to receive entry question std txt rate t c s apply over s,spam
u dun say so early hor u c already then say,spam
nah i don t think he goes to usf he lives around here though,spam
freemsg hey there darling it s been week s now and no word back i d like some fun you up for it still tb ok xxx std chgs to send to rcv,spam
even my brother is not like to speak with me they treat me like aids patent,spam
as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune,spam
winner as a valued network customer you have been selected to receivea prize reward to claim call claim code kl valid hours only,spam
had your mobile months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on,spam
i m gonna be home soon and i don t want to talk about this stuff anymore tonight k i ve cried enough today,spam
six chances to win cash from to pounds txt csh and send to cost p day days tsandcs apply reply hl info,spam
urgent you have won a week free membership in our prize jackpot txt the word claim to no t c lccltd pobox ldnwarw,spam
i ve been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,spam
i have a date on sunday with will,spam
xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here xxxmobilemovieclub com n qjkgighjjgcbl,spam
oh k i m watching here,spam
eh u remember how spell his name yes i did he v naughty make until i v wet,spam
fine if that s the way u feel that s the way its gota b,spam
england v macedonia dont miss the goals team news txt ur national team to eg england to try wales scotland txt ú poboxoxwwq,spam
is that seriously how you spell his name,spam
i m going to try for months ha ha only joking,spam
so ü pay first lar then when is da stock comin,spam
aft i finish my lunch then i go str down lor ard smth lor u finish ur lunch already,spam
ffffffffff alright no way i can meet up with you sooner,spam
just forced myself to eat a slice i m really not hungry tho this sucks mark is getting worried he knows i m sick when i turn down pizza lol,spam
lol your always so convincing,spam
did you catch the bus are you frying an egg did you make a tea are you eating your mom s left over dinner do you feel my love,spam
i m back amp we re packing the car now i ll let you know if there s room,spam
ahhh work i vaguely remember that what does it feel like lol,spam
wait that s still not all that clear were you not sure about me being sarcastic or that that s why x doesn t want to live with us,spam
yeah he got in at and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till but we won t go there not doing too badly cheers you,spam
k tell me anything about you,spam
for fear of fainting with the of all that housework you just did quick have a cuppa,spam
thanks for your subscription to ringtone uk your mobile will be charged month please confirm by replying yes or no if you reply no you will not be charged,spam
yup ok i go home look at the timings then i msg ü again xuhui going to learn on nd may too but her lesson is at am,spam
oops i ll let you know when my roommate s done,spam
i see the letter b on my car,spam
anything lor u decide,spam
hello how s you and how did saturday go i was just texting to see if you d decided to do anything tomo not that i m trying to invite myself or anything,spam
pls go ahead with watts i just wanted to be sure do have a great weekend abiola,spam
did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy,spam
rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now for delivery tomorrow,spam
who are you seeing,spam
great i hope you like your man well endowed i am lt gt inches,spam
no calls messages missed calls,spam
didn t you get hep b immunisation in nigeria,spam
fair enough anything going on,spam
yeah hopefully if tyler can t do it i could maybe ask around a bit,spam
u don t know how stubborn i am i didn t even want to go to the hospital i kept telling mark i m not a weak sucker hospitals are for weak suckers,spam
what you thinked about me first time you saw me in class,spam
a gram usually runs like lt gt a half eighth is smarter though and gets you almost a whole second gram for lt gt,spam
k fyi x has a ride early tomorrow morning but he s crashing at our place tonight,spam
wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave i m sorry i didn t and don t have more to give i m sorry i offered i m sorry your room was so embarassing,spam
sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv,spam
do you know what mallika sherawat did yesterday find out now lt url gt,spam
congrats year special cinema pass for is yours call now c suprman v matrix starwars etc all free bx ip we pm dont miss out,spam
sorry i ll call later in meeting,spam
tell where you reached,spam
yes gauti and sehwag out of odi series,spam
your gonna have to pick up a burger for yourself on your way home i can t even move pain is killing me,spam
ha ha ha good joke girls are situation seekers,spam
its a part of checking iq,spam
sorry my roommates took forever it ok if i come by now,spam
ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice,spam
as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a bonus prize call,spam
today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me,spam
urgent ur awarded a complimentary trip to eurodisinc trav aco entry or to claim txt dis to morefrmmob shracomorsglsuplt ls aj,spam
did you hear about the new divorce barbie it comes with all of ken s stuff,spam
i plane to give on this month end,spam
wah lucky man then can save money hee,spam
finished class where are you,spam
hi babe im at home now wanna do something xx,spam
k k where are you how did you performed,spam
u can call me now,spam
i am waiting machan call me once you free,spam
thats cool i am a gentleman and will treat you with dignity and respect,spam
i like you peoples very much but am very shy pa,spam
does not operate after lt gt or what,spam
its not the same here still looking for a job how much do ta s earn there,spam
sorry i ll call later,spam
k did you call me just now ah,spam
ok i am on the way to home hi hi,spam
you will be in the place of that man,spam
yup next stop,spam
i call you later don t have network if urgnt sms me,spam
for real when u getting on yo i only need more tickets and one more jacket and i m done i already used all my multis,spam
yes i started to send requests to make it but pain came back so i m back in bed double coins at the factory too i gotta cash in all my nitros,spam
i m really not up to it still tonight babe,spam
ela kano il download come wen ur free,spam
yeah do don t stand to close tho you ll catch something,spam
